Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17841    0.005    0.000    0.105    0.000 C:\Python_3.7.6\lib\abc.py:137(__instancecheck__)
      295    0.005    0.000    2.218    0.008 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:2609(_create_graph_function)
5311/5295    0.005    0.000    1.771    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\profiler\trace.py:178(wrapped)
    11117    0.005    0.000    0.017    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\dtypes.py:63(base_dtype)
      294    0.005    0.000    2.236    0.008 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:2494(_get_concrete_function_garbage_collected)
    46035    0.005    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\inspect_utils.py:79(<genexpr>)
     2537    0.005    0.000    0.008    0.000 C:\Python_3.7.6\lib\threading.py:335(notify)
     1548    0.005    0.000    0.044    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:466(as_default)
     5628    0.005    0.000    0.026    0.000 {built-in method builtins.all}
     2393    0.005    0.000    0.005    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.GetOperationInputs}
      507    0.005    0.000    0.025    0.000 C:\Python_3.7.6\lib\inspect.py:1089(getfullargspec)
     4786    0.005    0.000    0.012    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:645(update)
     2386    0.005    0.000    0.022    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\errors_impl.py:273(__init__)
     1121    0.005    0.000    0.018    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:505(_c_api_shape)
     3780    0.005    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\traceable_stack.py:109(peek_objs)
     2175    0.005    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:229(__init__)
     9473    0.005    0.000    0.006    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5300(_device_function_stack)
     3077    0.005    0.000    0.005    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
      460    0.005    0.000    0.005    0.000 {built-in method numpy.zeros}
     1549    0.005    0.000    0.016    0.000 C:\Python_3.7.6\lib\contextlib.py:210(contextmanager)
     4250    0.004    0.000    0.004    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNestedOrComposite}
     3145    0.004    0.000    0.025    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:53(_SatisfiesTypeConstraint)
      295    0.004    0.000    0.152    0.001 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:1421(__init__)
      296    0.004    0.000    0.004    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FunctionToFunctionDef}
      595    0.004    0.000    0.004    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphGetOpDef}
